8,9,4,2,7,1,2,1
6,8,2,2,3,1,3,7
4,7,9,7,8,5,6,2
5,9,11,8,5,6,9,4
11,11,6,9,4,2,4,7
11,4,11,11,5,3,11,7
8,2,1,9,3,5,7,9
5,5,9,6,4,5,1,3
4,4,5,7,8,9,7,5
7,3,6,1,4,11,11,4
9,3,5,9,11,8,4,11
11,5,7,5,7,2,4,11
5,5,2,6,3,1,7,7
8,3,1,2,6,8,7,6
7,2,5,2,7,9,8,1
7,2,11,6,9,7,3,9
8,6,9,3,11,2,2,9
3,7,4,7,2,6,3,7
1,3,3,6,11,2,7,8
9,4,3,7,5,4,8,1
7,7,7,6,7,9,8,5
4,6,3,4,1,4,7,3
6,9,4,4,6,8,1,9
2,11,11,8,7,2,7,7
1,6,11,6,9,8,5,5
4,7,1,1,7,9,8,7
11,3,11,3,6,11,1,7
1,11,1,11,4,7,7,11
1,5,2,2,8,8,1,1
2,2,4,2,2,11,11,11
8,8,6,7,11,4,11,9
11,6,3,6,6,5,5,1
11,2,3,4,1,5,4,1
7,4,3,5,7,2,6,3
11,2,6,8,8,7,5,11
11,7,9,6,6,11,5,7
3,3,3,1,4,6,1,7
4,9,5,9,8,4,11,5
3,8,9,4,8,1,3,8
3,5,5,4,3,1,7,4
11,3,7,9,5,8,5,5
1,9,9,9,2,1,5,3
11,2,2,3,11,5,1,7
9,1,9,6,5,2,9,5
2,6,11,5,3,11,6,7
6,8,9,9,1,5,2,8
3,3,7,2,8,7,11,8
11,4,5,7,8,7,7,2
2,5,6,4,6,7,3,7
1,8,6,6,6,5,2,11
